0x0, 0x0, 0x0, 0x0, 10333, 587, 0
0x0, 0x0, 0x0, 0x0, 9982, 1760, 0
0x0, 0x0, 0x0, 0x0, 8660, 1820, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4250, 0, 0
0x0, 0x0, 0x0, 0x0, 4247, 4, 0
0x0, 0x0, 0x0, 0x0, 4246, 0, 0
0x0, 0x0, 0x0, 0x0, 4189, 1, 0
0x0, 0x0, 0x0, 0x0, 4189, 61, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 19, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4170, 0, 0
0x0, 0x0, 0x0, 0x0, 4151, 95, 0
0x0, 0x0, 0x0, 0x0, 3340, 1780, 0
0x0, 0x0, 0x0, 0x0, 3340, 1780, 0
0x0, 0x0, 0x0, 0x0, 120, 0, 0
0x0, 0x0, 0x0, 0x0, 95, 0, 0
0x0, 0x0, 0x0, 0x0, 34, 25, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 20, 0, 0
0x0, 0x0, 0x0, 0x0, 19, 0, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 19, 1, 0
0x0, 0x0, 0x0, 0x0, 6, 1, 0
0x0, 0x0, 0x0, 0x0, 5, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 4, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 1, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 0, 0
0x0, 0x0, 0x0, 0x0, 3, 1, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
0x0, 0x0, 0x0, 0x0, 1, 0, 0
